text,color_palette
pasto,"#228B22,#32CD32,#7CFC00"
cielo,"#87CEEB,#4682B4,#00BFFF"
amanecer,"#FF4500,#FFD700,#FFA07A"
noche,"#191970,#000080,#000000"
mar,"#1E90FF,#00BFFF,#4682B4"
bosque,"#228B22,#6B8E23,#556B2F"
desierto,"#EDC9AF,#F4A460,#D2B48C"
puesta de sol,"#FF4500,#FF6347,#FFD700"
invierno,"#ADD8E6,#FFFFFF,#D3D3D3"
primavera,"#00FF7F,#FFFF00,#FF69B4"
verano,"#FF4500,#FFD700,#00FF00"
otoño,"#FFA500,#FF8C00,#A52A2A"
lago,"#1E90FF,#4682B4,#5F9EA0"
montaña,"#A9A9A9,#696969,#2F4F4F"
ciudad,"#708090,#778899,#B0C4DE"
campo,"#32CD32,#98FB98,#7CFC00"
amanecer,"#FFCC99,#FF9966,#FF6600"
anochecer,"#660066,#CC0066,#FF66CC"
otoño,"#FF6F00,#FFB300,#F57F17"
invierno,"#B0E0E6,#ADD8E6,#87CEFA"
verano,"#FFCC00,#FF6600,#FF3300"
primavera,"#FF99FF,#CC99FF,#9966FF"
noche,"#000033,#003366,#0066CC"
día,"#FFFF99,#FFFFCC,#FFFF00"
mediodía,"#FF6600,#FF9900,#FFCC00"
atardecer,"#FF6600,#FF9900,#FFCC00"
aurora,"#FF9999,#FF6666,#FF3333"
bosque,"#006400,#228B22,#32CD32"
desierto,"#F4A460,#D2B48C,#DAA520"
playa,"#00BFFF,#1E90FF,#4682B4"
mar,"#000080,#0000FF,#1E90FF"
océano,"#00008B,#0000FF,#4169E1"
río,"#4682B4,#00CED1,#20B2AA"
lago,"#5F9EA0,#00BFFF,#87CEFA"
montaña,"#A0522D,#D2691E,#8B4513"
valle,"#7CFC00,#00FF00,#32CD32"
ciudad,"#A9A9A9,#C0C0C0,#D3D3D3"
campo,"#9ACD32,#228B22,#6B8E23"
jardín,"#9ACD32,#00FF00,#6B8E23"
parque,"#008000,#006400,#228B22"
pasto,"#7CFC00,#ADFF2F,#00FF00"
césped,"#7CFC00,#00FF00,#00FF7F"
flor,"#FFC0CB,#FF69B4,#FF1493"
árbol,"#228B22,#2E8B57,#006400"
hoja,"#A2B5A7,#8B8B5A,#9ACD32"
nieve,"#FFFFFF,#E0FFFF,#B0E0E6"
hielo,"#E0FFFF,#F0F8FF,#B0E0E6"
roca,"#A9A9A9,#808080,#D3D3D3"
arena,"#F4A460,#D2B48C,#D2691E"
tierra,"#8B4513,#A0522D,#D2691E"
barro,"#8B4513,#D2691E,#A0522D"
sol,"#FFFF00,#FFD700,#FFA500"
luna,"#F0E68C,#FFFACD,#FAFAD2"
estrella,"#FFD700,#FFFF00,#FFFFE0"
nube,"#FFFFFF,#F0F8FF,#B0E0E6"
lluvia,"#00CED1,#48D1CC,#20B2AA"
tormenta,"#FF4500,#FF6347,#FF0000"
arco iris,"#FF4500,#FF6347,#FFD700"
fuego,"#FF4500,#FF6347,#FF0000"
lava,"#FF4500,#FF6347,#FFD700"
volcán,"#FF4500,#FF6347,#FFD700"
